Fq (MHz),Relative Power,?,Radial Velocity (km/s)
1418.8,0.0149,0.000185,80.614746
1418.801172,0.014903,0.000185,80.707985
1418.802344,0.014923,0.000184,80.966179
1418.803516,0.014949,0.000184,81.292732
1418.804688,0.014885,0.000183,81.218636
1418.805859,0.014819,0.000183,81.200706
1418.807031,0.0148,0.000182,81.189835
1418.808203,0.014787,0.000182,81.192795
1418.809375,0.014785,0.000182,81.25309
1418.810547,0.014775,0.000182,81.279015
1418.811719,0.014802,0.000181,81.699059
1418.812891,0.014797,0.000181,81.865036
1418.814062,0.014725,0.000181,81.452202
1418.815234,0.014662,0.000181,81.154327
1418.816406,0.014644,0.00018,81.135796
1418.817578,0.014658,0.00018,81.294975
1418.81875,0.014625,0.00018,81.29615
1418.819922,0.014604,0.00018,81.276588
1418.821094,0.014617,0.000179,81.48275
1418.822266,0.014585,0.000179,81.343773
1418.823437,0.014523,0.000179,80.991081
1418.824609,0.014546,0.000179,81.321823
1418.825781,0.014546,0.000178,81.747635
1418.826953,0.014569,0.000177,82.124359
1418.828125,0.014583,0.000177,82.207237
1418.829297,0.014517,0.000178,81.571655
1418.830469,0.014475,0.000178,81.316368
1418.831641,0.014466,0.000178,81.494499
1418.832813,0.014456,0.000178,81.432472
1418.833984,0.014494,0.000178,81.530136
1418.835156,0.014528,0.000178,81.783813
1418.836328,0.014511,0.000177,81.968697
1418.8375,0.014521,0.000176,82.315445
1418.838672,0.014523,0.000176,82.459663
1418.839844,0.014484,0.000176,82.213264
1418.841016,0.014501,0.000176,82.307793
1418.842187,0.014547,0.000176,82.740913
1418.843359,0.014543,0.000176,82.715965
1418.844531,0.014497,0.000176,82.390053
1418.845703,0.01447,0.000177,81.895325
1418.846875,0.014493,0.000177,81.83667
1418.848047,0.014534,0.000177,82.134293
1418.849219,0.014538,0.000177,82.281067
1418.850391,0.014505,0.000176,82.256622
1418.851562,0.014508,0.000176,82.362183
1418.852734,0.014516,0.000176,82.413338
1418.853906,0.014522,0.000176,82.462959
1418.855078,0.014516,0.000176,82.47332
1418.85625,0.014517,0.000176,82.347542
1418.857422,0.01456,0.000177,82.377525
1418.858594,0.014585,0.000177,82.524361
1418.859766,0.014599,0.000177,82.501015
1418.860937,0.014574,0.000177,82.302483
1418.862109,0.014563,0.000177,82.258629
1418.863281,0.01461,0.000177,82.372948
1418.864453,0.014646,0.000178,82.477951
1418.865625,0.014664,0.000178,82.462929
1418.866797,0.014675,0.000179,82.038506
1418.867969,0.014674,0.000179,81.865288
1418.869141,0.014667,0.000179,82.04837
1418.870312,0.014682,0.000179,82.225914
1418.871484,0.014691,0.000179,82.058197
1418.872656,0.014703,0.00018,81.710922
1418.873828,0.014767,0.00018,81.887787
1418.875,0.014798,0.000181,81.94384
1418.876172,0.014791,0.000181,81.742516
1418.877344,0.01484,0.000182,81.661293
1418.878516,0.014884,0.000182,81.810455
1418.879688,0.014922,0.000182,81.976952
1418.880859,0.014943,0.000183,81.760048
1418.882031,0.014945,0.000183,81.537704
1418.883203,0.01497,0.000184,81.557648
1418.884375,0.015048,0.000184,81.877106
1418.885547,0.015112,0.000184,81.999657
1418.886719,0.015138,0.000185,81.77565
1418.887891,0.015152,0.000186,81.452141
1418.889062,0.01519,0.000187,81.238457
1418.890234,0.015245,0.000187,81.511909
1418.891406,0.015283,0.000187,81.825638
1418.892578,0.015324,0.000188,81.634987
1418.89375,0.015356,0.000189,81.425652
1418.894922,0.015366,0.000189,81.223755
1418.896094,0.015449,0.00019,81.189621
1418.897266,0.015545,0.000191,81.341454
1418.898438,0.01563,0.000192,81.508133
1418.899609,0.015673,0.000192,81.44516
1418.900781,0.015676,0.000193,81.285942
1418.901953,0.015754,0.000194,81.285568
1418.903125,0.015864,0.000194,81.572266
